,error
0,2.1609918368783166e-06
1,3.2971405647355034e-07
2,4.0773274328826496e-07
3,7.849462276266571e-07
4,1.4725696529885364e-07
5,8.855131320274068e-08
6,2.0445210813197628e-06
7,1.1053385366644174e-06
8,2.39529224865318e-07
9,1.206425946777412e-06
10,1.3703367099085448e-06
11,1.4202383931588606e-07
12,3.293721333223375e-06
13,3.676885146998555e-07
14,9.566810128631149e-06
15,3.892938063926095e-07
16,1.7904002866404562e-06
17,1.673956830597837e-07
18,7.011561698077844e-08
19,5.552328289069848e-07
20,2.6887964296943456e-06
21,1.9749162424569765e-07
22,5.268858389402058e-07
23,2.594420397765064e-07
24,1.0494488297130608e-05
25,9.680170726231703e-08
26,5.345156737212378e-07
27,3.756825257701487e-08
28,1.4777388446988322e-06
29,5.657948413106318e-07
30,2.0126367854749413e-08
31,2.0200901531414495e-06
32,1.562431364271512e-07
33,5.757950917075411e-07
34,6.367928750394481e-07
35,8.720585553901957e-07
36,4.237508144340563e-06
37,2.2935384139583658e-07
38,5.274321631192674e-07
39,9.041028864666954e-06
40,1.0789874781330448e-06
41,3.749829657833344e-08
42,3.6969009927105156e-07
43,1.0966561595263652e-06
44,8.002745731015112e-07
45,7.681840546844235e-07
46,1.95122600667781e-07
47,1.1795124107547274e-07
48,6.240841255381068e-07
49,1.434433022237566e-05
50,3.932154073914411e-07
51,7.822846014735583e-06
52,5.023381484333691e-07
53,1.0957555253103331e-09
54,2.4095472223676903e-07
55,5.306307176309085e-07
56,2.751025155121955e-07
57,1.1763004572180846e-07
58,2.3576408565449858e-07
59,8.065148724104143e-07
60,1.4606743332209486e-06
61,9.163747319113496e-07
62,5.181879626597048e-10
63,5.052984335282377e-07
64,5.047859420938911e-08
65,5.329514995292849e-07
66,1.5482875578481308e-06
67,1.6668469101768192e-06
68,3.6051914131580364e-07
69,3.497773951808739e-08
70,9.934120536362538e-06
71,2.4969882761553e-07
72,3.5331416721980765e-07
73,4.8843987202071815e-06
74,7.906626330976795e-07
75,1.2248407942457968e-06
76,2.20686092903612e-07
77,4.7463456273960105e-07
78,7.300532338317878e-07
79,5.571530927928161e-08
80,8.006051276360535e-07
81,7.749508169486099e-07
82,2.879683661693424e-06
83,2.101650453002306e-06
84,2.82472590856721e-07
85,1.7805299963653108e-07
86,2.7667222335322726e-07
87,6.338358652677447e-06
88,5.536713290710404e-07
89,4.125500387883891e-07
90,1.3345076464480447e-06
91,1.3088208512125533e-08
92,2.634445394938903e-07
93,1.856408510388353e-08
94,5.981718787656966e-08
95,6.913422886203214e-07
96,2.190379679791728e-07
97,7.190042531511267e-07
98,1.518393634753824e-05
99,4.411843750172363e-07
