,error
0,3.593909474754374e-08
1,7.219762648083987e-08
2,4.3735652087357416e-07
3,3.469529301124941e-08
4,1.8510251339827907e-07
5,1.7295925392701686e-07
6,4.2270613119652265e-07
7,8.102681395168764e-07
8,2.194524095477118e-07
9,6.904141826126775e-07
10,1.491988945499281e-07
11,9.43946810563146e-08
12,4.0926917652257887e-07
13,1.5273446157245467e-07
14,6.585516335574442e-07
15,3.090799432513222e-08
16,7.447656182927192e-07
17,2.3823495212407235e-07
18,5.316184380086043e-07
19,1.5157590371547587e-07
20,8.506136628376595e-08
21,1.722167200623134e-07
22,1.3216487544218504e-07
23,2.752309635349733e-07
24,6.639847637947824e-07
25,4.939639272937941e-07
26,2.667420748690211e-07
27,1.543650789116255e-07
28,5.452230283328801e-08
29,4.9037280231277794e-08
30,4.180998027007574e-07
31,1.7567058225502701e-07
32,1.3469616257046362e-07
33,6.719129074359633e-07
34,4.2207616296461486e-07
35,4.776306749605188e-08
36,1.1737178564834985e-06
37,1.816613350172708e-08
38,9.425065416200909e-07
39,1.7376852686763718e-07
40,1.6118536030945362e-07
41,2.1121126840875274e-08
42,1.9508963138156001e-07
43,5.369046649387486e-07
44,2.574826338381685e-07
45,5.987362493789755e-07
46,4.422454582124057e-07
47,2.837640784712057e-07
48,8.203654693486885e-08
49,2.2280578677464288e-06
50,1.2277950957217688e-07
51,1.3496980533061099e-06
52,9.684174730085552e-08
53,1.7643817158424815e-06
54,7.237305685570642e-07
55,8.586505480416959e-08
56,1.139007572829715e-07
57,1.0936749518294759e-07
58,3.246521786222282e-08
59,2.844478845110817e-07
60,2.2674931778955708e-07
61,1.0890514127943469e-07
62,1.5310263546996992e-07
63,2.288727757167307e-07
64,2.023865892485076e-07
65,2.4658881159040056e-07
66,2.998361811128646e-07
67,5.29012468073876e-07
68,1.8921577243849383e-07
69,1.8642000975114345e-07
70,1.5164660335063634e-06
71,2.1144510940769297e-07
72,4.1972700317693925e-07
73,2.5059065938363094e-07
74,4.4656682550544e-07
75,2.2511169656907056e-07
76,4.00463529941215e-07
77,2.224155961140027e-07
78,4.322858627047234e-07
79,4.4909255092461586e-07
80,4.389013684070688e-07
81,8.918463170540647e-07
82,2.9077793009350403e-06
83,1.1821113674645546e-07
84,9.485171849298835e-08
85,3.578002639719835e-08
86,6.259366513618119e-08
87,1.8369321446216736e-06
88,2.2610829922857152e-07
89,2.0304353708219323e-07
90,3.7433060347536204e-07
91,6.885971381049193e-07
92,1.497790156670296e-08
93,3.3659027987685627e-07
94,5.920531183567222e-08
95,3.041532143444698e-07
96,1.6195409022962698e-07
97,4.924028977763957e-07
98,5.71737902776714e-07
99,7.156119094675718e-08
