,error
0,0.0027076379851000707
1,0.003332675725818298
2,0.0028949636560153774
3,0.001107917486264884
4,0.003210600820081288
5,0.003073591068022735
6,0.0026083114966876726
7,0.0025996547521621787
8,0.0004536394084871981
9,0.0005671028310401857
10,0.0028287951787328122
11,0.0032974451626306208
12,0.0020098937038442594
13,0.00262513367550224
14,0.0015926275164715596
15,0.0006460162389457906
16,0.0014709103380728607
17,0.0003183223548840076
18,0.0015556114779906784
19,0.0027040325441759893
20,0.0007670746815324837
21,0.0015354580553483602
22,0.0020738359797305103
23,0.0003886349680209449
24,0.0014918599914033868
25,0.0027777768619936137
26,0.0022857064124508684
27,0.0024400677397992793
28,0.0014086749099667716
29,0.0027956918815827876
30,0.00290435476950026
31,0.002183349184841337
32,0.002819248729406616
33,0.0032237283750017483
34,0.0005730035459330044
35,0.0023740499811827666
36,0.0007875620050808397
37,0.0030691735552168115
38,0.0025785004925155466
39,0.0025645156878335153
40,0.0011779191437864894
41,0.0007852176930733778
42,0.0012861068882442396
43,0.0009874082937542533
44,0.0030706006036862153
45,0.0006446753363347819
46,0.000710412144716243
47,0.0022478987374478093
48,0.00300634320322047
49,0.001806778411991382
50,0.0029096460723795126
51,0.002484436471603281
52,0.00042979204133593253
53,0.0007720577153273893
54,0.0018596039245303412
55,0.002242845793559538
56,0.0017559073189657886
57,0.0006996909410464116
58,0.0010960155457395392
59,0.0006700187430984847
60,0.0005848920369967095
61,0.00046301344658225525
62,0.001976643737630937
63,0.0024136555857762632
64,0.0029912867923180134
65,0.0008833976955205267
66,0.0024059500629335633
67,0.002337712212383494
68,0.0007705398946937501
69,0.003069360252219801
70,0.0009716278954816028
71,0.0032573066435138565
72,0.00247281765698257
73,0.0020709054454190845
74,0.0006837747924839058
75,0.0028251766829436443
76,0.0016276456964432688
77,0.002907513847884061
78,0.0031156524637869555
79,0.0016750371657000072
80,0.0030778019415527162
81,0.00306780600768869
82,0.0020161161845026476
83,0.002054291812616407
84,0.002540079360944267
85,0.000179309648543254
86,0.0024349048041498607
87,0.002336386379466916
88,0.0015823042535329302
89,0.0023376758211603047
90,0.0038993694123925196
91,0.00024855046706567666
92,0.0018093499232203938
93,0.003055249234156398
94,0.0002421912846097171
95,0.002595182012404773
96,0.003207802997956653
97,0.000564397369287716
98,0.0027071003320958678
99,6.317603188232703e-05
