,error
0,2.618752036144995e-06
1,4.5770091800683516e-06
2,2.12321617300496e-05
3,4.197944670752856e-06
4,5.180376373077585e-06
5,6.959962625527143e-06
6,5.135677764805582e-06
7,2.0831023340735754e-05
8,8.220457318966324e-07
9,3.6112746211900473e-06
10,8.626368436497731e-07
11,5.142247938883901e-06
12,3.903724586203126e-06
13,2.3686786323933543e-06
14,1.3360762583121707e-06
15,2.449223205442002e-06
16,1.2638387324735082e-05
17,4.485840142263697e-06
18,1.1857913774269704e-06
19,5.718243754685253e-06
20,1.5382394531681695e-06
21,3.4580206459591615e-06
22,4.3418517599820135e-06
23,1.3575596187422313e-05
24,5.811540794849798e-07
25,6.374993235186068e-06
26,8.492529104103913e-07
27,7.5520633900344425e-06
28,2.4427074203149423e-06
29,4.3501755842250053e-07
30,5.979183227851035e-06
31,1.773637400032184e-06
32,3.452275363415981e-06
33,3.922180297453886e-06
34,3.855364748601398e-05
35,2.800497968969898e-07
36,4.061769460269931e-06
37,6.608974968406438e-05
38,3.793889164788261e-06
39,1.5464060762565065e-06
40,4.085172155644319e-05
41,8.099420730078568e-07
42,3.036041290483351e-07
43,2.6610418608333405e-06
44,2.837398486363054e-05
45,5.774179067029398e-06
46,4.613837745784718e-06
47,3.7151978895961434e-06
48,2.1890281243244243e-06
49,2.7095930311614967e-06
50,2.0113476925707523e-05
51,1.5220222492708965e-06
52,3.0333510693338377e-07
53,2.263351948668275e-06
54,4.109483560101618e-07
55,4.559319123860204e-07
56,1.253530710132919e-05
57,1.0216927288344907e-06
58,3.5384670196028507e-06
59,8.037942247445393e-07
60,4.718335987540233e-06
61,1.946781592427233e-08
62,1.2437855914006933e-05
63,5.516657436919449e-07
64,2.6631231789819564e-06
65,5.240700257488107e-07
66,1.074219648310742e-06
67,1.5926576647412292e-06
68,8.147331721130813e-05
69,3.5789979045115257e-06
70,6.401826030087589e-07
71,5.749911406814864e-07
72,2.278818642327098e-06
73,5.53620033432892e-06
74,9.745584069488387e-07
75,4.973695792244359e-06
76,5.731959009079269e-06
77,1.2572307725661226e-05
78,7.935116676769006e-06
79,5.080126018575682e-06
80,4.78911951772371e-06
81,4.838251235930209e-05
82,4.339924563075973e-06
83,7.300575990324018e-05
84,3.835078713633776e-06
85,2.3765171114895884e-06
86,4.169954733285764e-07
87,1.084198826314053e-05
88,3.280707079619113e-06
89,3.770463253745295e-06
90,6.449095088343668e-07
91,2.1560340339034698e-06
92,1.938478010474252e-06
93,3.7260474400276284e-05
94,1.0051773659628885e-05
95,2.6886790389187446e-06
96,3.8317641047906414e-06
97,2.1879766834321544e-06
98,2.6883648439615908e-06
99,4.3941637390396505e-06
