,error
0,4.374195967376749e-08
1,1.9199132904675388e-07
2,1.1513594097331092e-07
3,2.9862389360475055e-08
4,1.0682229561093192e-07
5,1.4027976151996983e-07
6,5.477162874146298e-07
7,9.763637279611955e-07
8,2.4718908268462744e-07
9,6.848461868578845e-07
10,1.2700166101733691e-07
11,8.165589131716246e-07
12,2.0048228185252096e-08
13,2.150945407848095e-07
14,1.3908365005321038e-07
15,5.669118459890964e-07
16,1.2485117219432566e-07
17,6.00131512925386e-08
18,5.74146112375499e-07
19,7.652053994303423e-07
20,5.542494201261353e-07
21,3.6634302463218563e-09
22,2.0920118362392132e-07
23,1.1272407216947863e-07
24,4.928217386940813e-08
25,1.0963103974758488e-07
26,7.162702766118272e-08
27,4.2669839217559905e-07
28,4.4638421682847294e-09
29,4.264401550079131e-07
30,1.6524264951655636e-07
31,2.40221352504314e-07
32,5.49285916802833e-09
33,4.252587743906869e-09
34,1.0444827354895345e-06
35,5.77606289171013e-07
36,5.441399792434416e-08
37,9.53044483328946e-07
38,2.0838011089475552e-07
39,3.416816272670504e-07
40,1.322678084393044e-06
41,5.8036751852118244e-08
42,2.513779244680637e-07
43,3.486823190621873e-07
44,9.591853461158841e-07
45,1.302195129571048e-07
46,9.000497903876539e-07
47,5.214834621582946e-07
48,1.2487165577447752e-08
49,1.8053706239384693e-07
50,8.476113838439721e-08
51,1.7299925485146772e-07
52,5.313849537723323e-07
53,2.027878854631327e-07
54,3.518821175320541e-07
55,4.6513756098863127e-07
56,7.769025460433334e-08
57,2.595445695263745e-07
58,1.0714965602684013e-07
59,2.5183854101022285e-07
60,1.665662675218729e-07
61,9.105334112798289e-09
62,6.188749401507193e-07
63,1.7765775598494121e-07
64,4.002372305715736e-08
65,5.234851138479906e-07
66,8.499513065597627e-08
67,1.7691745987155325e-07
68,1.6525963899480194e-06
69,6.218213100494025e-07
70,8.115383595327399e-07
71,1.604084040975399e-08
72,3.4097225473468746e-07
73,5.540947506714467e-09
74,2.0557947477929195e-07
75,3.752747628088565e-07
76,2.202169056714024e-07
77,1.0615999681021782e-06
78,1.1727756173148767e-07
79,3.719330702417368e-07
80,4.753979798317581e-08
81,1.8361627015311839e-06
82,2.6914504131101605e-07
83,1.3889251571924163e-06
84,4.843539058446683e-07
85,2.0690770218042796e-07
86,2.575530556845551e-07
87,6.191156261112676e-07
88,7.454023205652588e-08
89,2.5206499534403573e-07
90,1.9273646665531263e-07
91,7.325540672269512e-08
92,5.90601238198403e-07
93,2.485879814841146e-07
94,9.827939351971815e-07
95,5.67712819949165e-07
96,1.362344196145161e-07
97,1.1982311779641918e-07
98,1.1958024930217455e-07
99,9.107941106736035e-08
