,error
0,0.14968465636390524
1,0.2564323595010683
2,0.5201614338092726
3,0.11341641418657496
4,0.18898174083457972
5,0.040389473362772106
6,0.3508671454069108
7,0.4135520193282032
8,0.08627924714098374
9,0.007402298035095631
10,0.5580720495336103
11,0.11172442365220031
12,0.09177969241407019
13,0.007815100679310226
14,0.004222159693157716
15,0.009903578629951202
16,0.3122963625693862
17,0.0883550473704979
18,0.7318233975345454
19,0.18749639768635978
20,0.004598641854657857
21,0.1461757750934382
22,0.08377447793859795
23,0.03629434621918027
24,0.007971365123758727
25,0.23881043673674565
26,0.0004780890716095674
27,0.5171956719584897
28,0.004351751844256385
29,0.7184097552547329
30,0.2768406623588109
31,0.3416793493232821
32,0.15148573761344106
33,0.2927644316040608
34,0.04821810865575328
35,0.002392635948982694
36,0.07470606824496223
37,0.36444944117430916
38,0.2076697880101064
39,0.000972940096394151
40,0.04744790162214556
41,0.2565909463679815
42,0.0004992750338641993
43,0.23849683387433537
44,0.36127881164918346
45,0.27636264869732347
46,0.20969548146968175
47,0.04257244185911495
48,0.011462621799053208
49,0.06260078619137192
50,0.034582386025402784
51,0.16926954456949198
52,0.6610081148710301
53,0.009498620177768686
54,0.8016645094507046
55,0.5482362108190733
56,0.40253093295402964
57,0.5241835796176731
58,0.07701302653736894
59,0.9202770688764756
60,0.21255853885027742
61,0.0006603140731086237
62,0.3389102906939542
63,0.4893926360255677
64,0.23048432625861834
65,0.1197082194755743
66,0.6572561081130414
67,0.6747380261841902
68,0.04385707296898036
69,0.21062497436176655
70,0.0015131147854221519
71,0.004699140099314934
72,0.018831628055876706
73,0.12030881186360214
74,0.0017410830063990968
75,0.1502929571014731
76,0.026698862923145866
77,0.385587026791489
78,0.3323771948521242
79,0.4228054839983089
80,0.25298077645422157
81,0.4134038298344266
82,0.07803299899723476
83,0.03924187332229977
84,0.012626510465710065
85,0.1733037004150543
86,0.0003722524380347936
87,0.021978244521487892
88,0.011386869891844838
89,0.024589267168154304
90,0.005325525090892191
91,0.0010577767801242892
92,0.0018123494174304125
93,0.37254221217631134
94,0.3480915931581874
95,0.0336163894105956
96,0.008566847369057657
97,0.24420704592475773
98,0.006802231980377603
99,0.4470309510084261
