,error
0,5.525302536169509e-06
1,9.807977537414924e-06
2,4.824504776571744e-06
3,7.3944672410997595e-06
4,2.590697025859322e-07
5,1.2873460554404052e-05
6,6.4372657160420864e-06
7,5.1661899498371375e-06
8,5.077786859556678e-06
9,2.3209011837335096e-07
10,8.881767164586239e-08
11,7.04283300369678e-06
12,4.066668557551241e-07
13,2.6884142611630466e-06
14,1.2524318818768956e-05
15,6.021115481873323e-06
16,4.277886260513377e-06
17,6.326652193396514e-07
18,7.511166236528581e-06
19,5.167395272895197e-07
20,5.043160900754102e-06
21,4.41946559008736e-06
22,1.02863262777638e-05
23,1.957964368548096e-07
24,1.971286008007285e-06
25,9.441715266948223e-06
26,4.168614615226609e-06
27,2.0265664978550363e-06
28,3.982291125730971e-06
29,7.332427559566022e-06
30,1.0083407692566493e-05
31,7.15740817088011e-07
32,3.5947918977011093e-07
33,6.547864864881704e-07
34,1.1469470362802606e-05
35,4.358593004394469e-06
36,7.45591728734309e-07
37,3.289686302644373e-06
38,4.776058533105326e-06
39,1.6277521987596922e-05
40,1.246793304711287e-06
41,5.153144338064321e-06
42,2.4628114602395287e-06
43,1.141306264787906e-06
44,4.274880715026167e-06
45,1.1282941847703342e-05
46,1.745980373067757e-06
47,8.574711527599421e-07
48,2.245160371339072e-06
49,6.380302993215654e-06
50,3.146848784711387e-06
51,4.686967892856436e-06
52,1.1412534968883468e-06
53,9.241647903509638e-08
54,5.888908587827038e-06
55,2.580385343368952e-07
56,1.2031385160293757e-05
57,8.087197943328804e-06
58,5.4629388934405446e-06
59,1.6082661272374914e-07
60,6.765995894046494e-06
61,2.6479579473807463e-06
62,1.700653159397649e-06
63,1.1449879629703955e-06
64,4.335611122910151e-07
65,4.647235056442977e-07
66,5.389773363162824e-06
67,5.7504268568325724e-06
68,1.0651944655363899e-06
69,6.043726980288671e-06
70,1.2270804629585982e-05
71,1.0099710564956054e-05
72,5.205179752624992e-06
73,5.289867959969351e-07
74,2.5133437645565045e-06
75,6.721874705901378e-06
76,7.100061582839113e-06
77,6.780092794193481e-06
78,8.383969986259753e-08
79,1.3429973481273427e-06
80,7.73454524643765e-06
81,4.941955079389856e-06
82,3.2788034458873377e-06
83,3.711887610934926e-07
84,4.66907195247989e-06
85,2.8916075220138904e-06
86,8.789139216755511e-06
87,8.260978318806102e-07
88,4.618830992546902e-06
89,8.192321869346533e-06
90,1.8758849308583092e-06
91,9.773303221215241e-06
92,2.5026630107536646e-07
93,2.967753662918685e-06
94,1.7201679613081017e-06
95,8.407230865826706e-06
96,2.3789817867723083e-06
97,4.495508145339841e-06
98,3.803750879441186e-06
99,8.198851011365985e-07
