,error
0,5.241485618934249e-06
1,6.223852406410414e-06
2,3.1057213446960443e-06
3,9.274044083686684e-06
4,5.058283615270628e-07
5,8.1162347007879e-06
6,7.952991468118905e-06
7,9.06977059617854e-06
8,6.8855977651917175e-06
9,1.4771686180893259e-06
10,8.712324131981669e-07
11,1.0348362920305385e-05
12,3.6216600614048426e-08
13,5.466416583382724e-06
14,7.1970057465584685e-06
15,8.306532369951708e-06
16,1.849923049969669e-06
17,7.525050112900049e-07
18,8.914518854918109e-06
19,6.508011767983652e-07
20,6.263255577650338e-06
21,6.0417844684427605e-06
22,6.9902306935740646e-06
23,1.0054870103146817e-06
24,1.2166895517590479e-06
25,7.692091520567997e-06
26,2.319927818161488e-06
27,4.909389826441719e-07
28,2.8997759798245967e-06
29,1.1662875315438749e-05
30,7.053808713897276e-06
31,4.34725399514484e-07
32,5.453243791429138e-08
33,1.850538943015007e-06
34,1.0504536982982829e-05
35,6.041207511491673e-06
36,1.1340437789333768e-06
37,2.740313609231655e-06
38,3.7965761738654085e-06
39,9.935560617873588e-06
40,1.6781509401045743e-06
41,3.5716651900955807e-06
42,3.0261062803275464e-06
43,1.6460725543488306e-06
44,4.239313043063428e-06
45,9.656108957220373e-06
46,1.5903536044567683e-06
47,8.765891904686659e-07
48,3.069619634675595e-06
49,7.0685583005620465e-06
50,2.730020285066492e-06
51,2.8248215071906894e-06
52,1.2654181745078863e-06
53,4.649979316440831e-07
54,3.7262299991971237e-06
55,1.0962660680334952e-07
56,9.438220121299547e-06
57,7.835852752636408e-06
58,4.24433231580854e-06
59,3.1238417613359775e-07
60,9.516358866028872e-06
61,1.217193472051753e-06
62,2.2001538104626554e-06
63,1.2153370909697218e-06
64,1.8826563684653352e-07
65,1.4924873036199792e-07
66,1.1900411858810545e-05
67,7.073330672387643e-06
68,2.829315200632255e-06
69,4.897662798171895e-06
70,1.4303138186199576e-05
71,1.0212170778733394e-05
72,4.939861835591975e-06
73,9.083130757182404e-07
74,1.5441990579176406e-06
75,8.170489123212039e-06
76,1.1789528282777546e-06
77,9.713979643261235e-06
78,7.963429829947374e-09
79,1.893634558034057e-06
80,8.371432837542861e-06
81,4.323382134801888e-06
82,3.612465757829734e-06
83,5.996800586590324e-07
84,3.841209173026958e-06
85,2.3494680125343644e-06
86,7.85172604525401e-06
87,4.787689413045191e-07
88,6.892899464112075e-06
89,8.838959450650338e-06
90,3.838700999297943e-06
91,9.859183624101355e-06
92,1.6442099108918313e-07
93,2.821208023081045e-06
94,1.1138180816059672e-06
95,7.690963764418697e-06
96,5.003325469511271e-06
97,3.4633582225623113e-06
98,3.8132635183862254e-06
99,9.120035901868205e-07
