,error
0,0.013442262564960302
1,0.009363115282888518
2,0.012938944164943964
3,0.011194908849325742
4,0.0012246661662063992
5,0.011029262662580143
6,0.00849690799760382
7,0.01538286120802144
8,0.0075336336874394305
9,0.002505443304369751
10,0.004408389979141406
11,0.014573715125190831
12,0.0013779152476829444
13,0.012349738528350104
14,0.006688827725519718
15,0.009634186778993139
16,0.010969928174028023
17,0.0032279107613803763
18,0.011506486880062729
19,0.005446727456439567
20,0.013762841906254436
21,0.007363887171063552
22,0.01136653691735186
23,0.0035972994483380633
24,0.004245442796602951
25,0.014542410067620287
26,0.005876271993015219
27,0.0001379045342023131
28,0.005661769610333148
29,0.010438011802812626
30,0.015029405048058032
31,0.00021415635158168286
32,0.0026013407593666674
33,0.003643024515839787
34,0.013324163030616301
35,0.011145477196545297
36,0.001040606300109827
37,0.008160715407255888
38,0.007152083248493631
39,0.011397322983918304
40,0.00212670070758988
41,0.003089649889880936
42,0.00880836123561388
43,0.006670481258296452
44,0.006569949630454037
45,0.013131363193249864
46,0.008278914932100026
47,0.002585645052462495
48,0.0029039758066450043
49,0.00856107064527399
50,0.012823770740325124
51,0.007482192236239491
52,0.006020314916900599
53,0.00510323626208964
54,0.001102721995094709
55,0.003162952298748459
56,0.01346044948329767
57,0.013213061859448913
58,0.002831890337074487
59,0.006396681984857615
60,0.01462922597288022
61,0.004199635422962707
62,0.007946801451873877
63,0.003498021091758834
64,0.003875089089549413
65,0.005871952416954024
66,0.013475395239967023
67,0.009239159623794544
68,0.0029404478194806983
69,0.01218524790467161
70,0.00955728600423318
71,0.013579907896059885
72,0.014849059988014265
73,0.0022264660707044925
74,0.000487225265800208
75,0.005816843867916173
76,0.009611263705111407
77,0.008264645190423211
78,0.0019170157097653517
79,0.00048060572414022803
80,0.014748527684359736
81,0.013164742566022299
82,0.0023471671355537243
83,0.002838350820428894
84,0.0032707974859583753
85,0.006104388228736708
86,0.012109206539013232
87,0.007981265632558188
88,0.01491834237541185
89,0.006189105668928437
90,0.005889453519084206
91,0.006655835679005648
92,0.0031409832282363838
93,0.012575023021327056
94,0.0036303049785127786
95,0.012931253121183983
96,0.00870740383081006
97,0.006545338348525786
98,0.005604694409272686
99,0.0006072045486471422
